,5 FLUOROURACIL 84 ugmL,A baumannii 5075,ACTINOMYCIN D 4 ugmL,ACTINOMYCIN D 6 ugmL,ADRIAMYCIN 6 ugmL,AZITHROMYCIN 0.4 ugmL,BENZAKONIUM CHLORIDE 20 ugmL,BENZAKONIUM CHLORIDE 40 ugmL,BLEOMYCIN 1.5 ugmL,BLEOMYCIN 3 ugmL,BLOOD AGAR 1,CAMP 0.2 uM,CCCP 0.05 ugmL,CCCP 0.075 ugmL,CEFSULODIN 3 ugmL,CEFSULODIN 6 ugmL,CHLORHEXIDINE 4 ugmL,CHLORHEXIDINE 7 ugmL,CIPROFLOXACIN 0.00025 ugmL,COPPER SULPHATE 20 ugmL,COPPER SULPHATE 50 ugmL,CYCLIC DI GMP 1 uM,DIBUCAINE 0.25 ugmL,DIMETHYL FUMARATE 0.6 ugmL,DMSO 2.5 ugmL,DMSO 5 ugmL,EDTA 1 mM,EGCG 120 ugmL,EGCG 75 ugmL,EGLA WATER DISINFECTANT 1.5 ugmL,EGLA WATER DISINFECTANT 2.5 ugmL,FOSFOMYCIN 25 ugmL,FOSFOMYCIN 45 ugmL,GENTAMYCIN 5 ugmL,GLYCOLIC ACID 0.25 ugmL,GLYCOLIC ACID 0.75,HYDROGEN PEROXIDE 1.8 mM,IMIDAZOLE 12 ugmL,IMIDAZOLE 24 ugmL,ISOPROPANOL 5 ugmL,K pneumoniae MKP 103,LOPERAMIDE 60 ugmL,LOPERAMIDE 80 ugmL,LYSOZYME 120 ugmL,M9 A KETOGLUTARATE 1,M9 GLYCEROL 1,M9 PROLINE 1,M9 PYRUVATE 1,MAGNESIUM CHLORIDE 10 mgmL,MAGNESIUM CHLORIDE 5 mgmL,METFORMIN 10 ugmL,METFORMIN 8 ugmL,METHOTREXATE 60 ugmL,MMS 1,MMS 1.5,N HEXANOYL L HOMOSERINE LACTONE 200 ugmL,NIGERICIN 200 ugmL,NO SALT LB with SUCROSE 0 mM,P aeruginosa 1,PROCAINE 1 ugmL,PROCAINE 1.5 ugmL,RIFAMPICIN 0.2 ugmL,SALT 0 mM,SDS 0.25,SODIUM BUTYRATE 50 ugmL,SODIUM BUTYRATE 70 ugmL,SODIUM CHOLATE 100 ugmL,SODIUM DEOXYCHOLATE 105 ugmL,SODIUM DEOXYCHOLATE 90 ugmL,SODIUM HYPOCHLORITE 0.75,SODIUM TAUROCHOLATE 40 ugmL,SODIUM TAUROCHOLATE 60 ugmL,SPECTINOMYCIN 12 ugmL,SPECTINOMYCIN 9 ugmL,STREPTOMYCIN 3 ugmL,STREPTOMYCIN 8 ugmL,TEMPERATURE 18,TEMPERATURE 25,TEMPERATURE 30,TRICLOSAN 70 ugmL,TRICLOSAN 90 ugmL,UREA 800 ugmL,UV 0.07 Joules,UV 0.1 Joules,UV 0.2 Joules,UV 0.5 Joules,V cholerae C 7606,VANILLIN AZITHROMYCIN 1,VANILLIN CIPROFLOXACIN 1,ZINC SULPHATE 150 ugmL,pH 6
VCA0226 hypothetical protein  ,1.197990149,-0.719389853,-1.638193126,0.843939174,-1.432688491,2.010965255,-1.393330919,-0.713583591,0.405625689,1.236310473,1.656521246,0.884121239,0.473190008,0.469122675,1.87640464,0.442856601,-0.333119993,0.283909555,0.877189581,-1.488470371,-2.085894614,-1.195604479,-1.980380168,-0.809205512,0.146949702,1.235406406,3.043778483,0.155245991,0.28697124,-0.74093625,-1.052730429,-0.451143388,-0.554863255,2.470341572,-0.10617001,0.349658569,0.282483152,0.941188192,0.094302079,2.998521891,-1.035662061,0.072235296,-0.596478963,2.167014201,2.289498661,0.689247778,2.314109591,1.266212975,1.501518146,-0.815520528,0.306876237,0.189644211,0.477403141,-1.49006324,-0.439124764,-0.613844076,1.799527224,-1.661738949,0.701821259,-1.39724318,0.400258573,-0.604219791,-0.301141048,2.691569997,1.581940449,0.899056532,0.70215429,-1.222802251,-1.025549489,-1.262284474,-1.954227376,-2.021799627,1.575207074,-0.838383228,-1.574923257,0.407468091,0.786190325,-1.289608044,-0.688938233,1.755591006,1.506083389,-0.420571147,0.608622577,0.662968234,-0.551046766,0.077064374,-1.102038075,,0.004755431,-1.318559117,-1.724264378
"VCA0227 vibriobactin and enterobactin ABC transporter, periplasmic vibriobactin/enterobactin-binding protein vctP Transport and binding proteins",-0.646356361,0.28339364,0.008055092,-0.218883398,0.472763626,0.441372867,0.899870338,-0.239299004,1.290710887,1.224299905,0.3472088,-0.001305302,0.971273683,0.653180891,-1.943802505,-0.274063169,0.161064477,-1.4118246,-0.34421098,-0.677369801,-1.037810116,-0.269211846,2.139640159,-1.85035223,-0.264001858,0.119418342,0.8374275,-0.553666824,0.807130671,-0.969846589,0.071356907,0.963588007,0.21070426,0.14103538,-0.627117689,1.482231052,0.975404207,-1.302874629,-0.618808552,1.270470707,-0.516885196,-1.14868882,-0.693716204,0.543385983,1.583890642,0.041766921,-0.387498122,-0.470416095,-0.910217307,-0.497529515,-0.905610987,-1.051057506,-0.300707794,1.444811173,-1.42222471,-0.811955685,-0.927287157,1.847792203,-1.44951219,2.752418568,0.527491193,0.161223243,2.0995645,0.241551895,1.776827989,0.972435909,-0.286127342,0.260751004,1.19833398,1.29782198,0.611717315,-1.201921486,1.118816079,-2.008910197,-0.116089478,1.078066392,-0.998136827,0.052488169,0.371798495,-0.291592169,1.010301344,0.087579188,0.443686477,0.019836474,0.600705432,0.410889355,-2.047285609,-1.148689006,-0.168474474,-1.347294575,0.213574691
"VCA0228 vibriobactin and enterobactin ABC transporter, permease protein vctD Transport and binding proteins",1.707930967,-1.660249803,0.663425097,-2.118148275,0.319821081,-0.267239251,0.656875637,0.580411707,-0.076370776,0.99542817,-1.069143916,0.680315552,-0.539844724,0.075466562,-0.42997606,-0.442997331,1.056247174,0.284165711,-1.494000894,0.150380718,-0.543932321,0.157720353,-1.5569821,-0.299738158,-0.72258971,1.226143924,0.187620612,1.787408002,0.627102978,0.901044143,0.085798442,1.34329871,-2.100896617,-1.079823608,0.555117688,-1.404238672,-1.528163817,-0.443598507,-1.072179818,-1.223244618,0.413213645,-0.561577666,1.037709935,0.187292754,-2.138542098,0.802078102,1.196787711,-0.204174223,-0.663136552,-0.533444023,0.984920782,-0.693381234,-0.172750167,-2.373973317,-1.280979804,-1.832436475,1.66208172,-0.758952673,0.268389402,-0.192332086,0.128518096,-0.672987312,-0.063865835,1.643603909,-1.197264849,0.333344147,0.617268432,1.213719233,1.125706724,0.110572574,-0.948358947,-0.308554523,0.923433743,1.887247953,0.866895387,-0.605261002,0.821423427,1.453200937,0.951627899,-1.144085584,-0.019358918,0.955432361,0.106543257,2.613304466,-0.799038466,-0.764286778,-0.118792181,-0.207858378,0.068215634,-0.634942928,-0.281596431
"VCA0229 vibriobactin and enterobactin ABC transporter, permease protein vctG Transport and binding proteins",0.251216099,0.408711833,0.222687075,0.732864805,-0.16180357,-1.192189781,-0.962106352,0.181825717,0.635646968,0.393844574,-1.700767022,-0.54419348,0.321354732,-0.600317763,1.124851451,-0.797452863,0.523435285,0.395158187,-1.413299633,0.323748324,0.8182712,-1.910473645,0.877978498,1.19466539,0.246000365,0.460162929,0.76352397,-0.209545216,0.031624133,0.129428811,1.136340961,-0.154141545,-0.964376331,0.853900996,-1.27395598,-0.016359091,0.344936574,-1.377206229,-0.112506747,-0.1382036,-0.883833923,-1.600492243,-1.881426724,0.416876111,0.264071484,-1.051115733,-0.247669035,-0.598857973,-0.035184598,0.574083311,-1.217096868,-0.996873761,-0.31707233,-0.414591784,-0.348922975,0.108825019,0.233959757,-0.248276906,0.506580283,0.015530715,0.430542272,-0.839965757,0.179649067,1.103414965,0.794180305,-0.988948082,-0.340750782,-0.932656383,-0.642879986,0.507233122,-0.193209378,-1.65208451,1.874365276,0.477135242,0.862409284,0.863178169,0.043494083,0.327240766,-0.502705094,-1.731093732,0.480745656,-1.054613828,-0.311024396,-0.179480056,0.59696092,0.573911763,1.505764137,-0.030794019,0.78163903,1.270716339,1.916310004
"VCA0230 vibriobactin and enterobactin ABC transporter, ATP-binding protein vctC Transport and binding proteins",-0.556139572,-0.657447727,-0.557616024,-0.742278091,0.642426726,-1.512914576,1.718650354,0.671383255,0.655287778,-0.063218023,0.19236225,-0.040880289,0.508967415,0.629896553,-2.688085578,-1.173024251,-0.804439657,-1.645495006,-0.68007989,-0.59105751,-0.978095143,-0.279044732,1.744903171,0.836163496,0.510474234,-0.487176665,-0.163644396,-0.98514646,-0.27190165,-0.375704031,-1.278936411,0.294974065,1.374952719,-2.366924229,-0.079958223,0.504399707,-0.200484277,0.416727885,-0.663552561,-0.313721748,-0.808653522,0.55326417,0.067606055,-0.294722655,1.233773369,-1.981991246,-0.15064118,-0.574560015,-0.488709993,1.493564811,-0.598973253,-0.198209039,-1.059454758,0.250571038,0.605442227,0.578292562,-0.831600016,0.196745803,-0.325197562,0.381559703,-0.227298478,0.78486674,0.542519105,-0.404834829,1.238764353,1.139559226,-0.282483778,-0.680724026,1.184413949,1.884132191,1.371565899,1.045545799,-0.30212777,-0.132972248,0.877349794,0.422465545,1.385956534,1.083310654,1.075029103,0.35761481,-0.981925529,-0.424959012,1.403306309,-0.440271251,0.205363706,0.861471559,0.041423989,-1.25221351,-0.445706717,0.068293793,0.281396285
"VCA0231 transcriptional regulator, AraC/XylS family  Regulatory functions",-2.553199452,-1.967816991,0.222143049,-0.326463642,0.343431005,-0.781237742,-1.410869966,-1.962395406,0.753891708,1.315580764,-3.007729899,0.172948728,1.022062078,0.58289668,-0.417008195,0.61432525,2.34366455,0.684682785,0.195616823,1.167158662,0.325502609,2.610418048,-0.999973985,1.401279156,-1.297284279,0.352780242,-0.482103567,1.927723218,3.020126807,1.267534867,1.439262148,1.880702377,-1.076512396,1.207762981,0.277694821,-0.442623527,1.550062061,0.705210128,-0.693817049,-1.356985618,0.32467438,-0.932717644,-0.501110814,-0.826450734,-0.579083109,1.774628046,0.868532205,1.530112365,0.82468955,0.433557893,-0.322063143,-0.16669257,-0.246941963,-0.523839608,-0.870612848,-1.478443617,0.247504659,-1.984323324,0.441784882,-0.917255412,-2.695861428,1.226343557,-0.893926002,-1.355369996,1.139026195,-0.231738866,-0.3584049,1.281591646,1.307524792,0.390022897,-1.37318154,-1.227164938,0.434633471,0.610529382,-2.074193308,-3.785577885,-1.810153784,-0.318046632,0.356234926,-2.249060977,-0.904715516,-0.571973454,0.234424933,1.477886847,0.183886094,0.769369344,0.062584356,,0.48180472,2.439041009,3.190261992
"VCA0232 enterobactin receptor VctA, authentic frameshift  Transport and binding proteins",-12.22222908,-0.654571951,0.608365504,-0.178623014,0.881774741,-0.968233503,0.159007653,0.690141097,-2.175593172,-1.087152042,0.901303472,0.672778114,-0.585048425,2.488522832,2.180358601,1.340852703,1.924885764,1.523221639,1.299073623,1.331579677,1.446019925,1.554090108,0.779010278,1.074617327,-1.86923452,-1.357238664,-0.740577427,1.218462014,-0.800588828,0.840877945,1.319097299,0.197064021,1.55039062,-2.372939114,-0.009236687,1.137088086,-3.751600437,0.704817528,0.564904739,-0.492658157,0.298029008,0.73384287,-0.586052796,0.865810985,-0.615032509,0.423412886,0.344060713,-0.446935412,-1.284164234,-1.484375728,0.395481549,-0.089756267,-0.465464042,-0.432629168,-0.389243104,-0.507227188,-2.631524202,1.405054706,-0.640523006,-0.882639302,-0.833590769,-1.274271388,-0.755142436,-0.713939303,0.182954093,0.251621196,1.338359797,1.643838994,1.77349115,-1.352542132,0.361925469,0.229499497,0.934811707,-1.999087809,1.021872476,1.295816851,-0.431934686,-0.605198095,0.244157423,1.217469365,0.524148316,1.714811462,-0.666743853,-0.206201309,0.089321787,-0.372066899,0.265745212,,-0.904612224,-0.062885447,1.060318341
VCA0233 hypothetical protein  ,-0.593031788,-0.782400517,0.216885515,0.91574389,0.793725722,0.267773905,0.963972587,0.081769217,-0.389036079,-1.745553814,0.9796116,0.715836016,0.727019114,0.755633501,-0.22272847,-1.501594311,0.019152258,-0.359434128,0.493043407,0.152287838,-0.187169049,-0.093627756,0.821369125,0.118995357,-0.474295028,0.14055552,-0.243166449,-0.255926717,-0.674139115,-0.371013396,0.019670052,0.562558047,1.652438389,-2.742793469,1.109730282,-0.539815116,-0.234324061,0.154703464,-0.835290156,-0.426135861,-0.872462876,1.864479917,0.407315148,0.009432594,-0.64523008,-0.436183909,-0.012850164,-0.23454089,1.922184497,0.275727606,3.294065078,1.480284407,-1.311295163,0.960745068,0.387932816,-0.031007531,1.062758056,-0.272926862,-0.43708001,-1.42541795,-1.610669693,-0.474273116,-0.353706023,1.058576593,0.072259248,0.166897404,-0.865796973,0.783237922,0.309649774,-0.142217479,-0.260481551,0.92388442,-0.896212721,-0.093183065,-1.856220781,-0.906667743,0.264428212,-0.264047686,-0.429732202,-0.453297463,1.567251081,0.202083339,-0.650325388,-0.208671773,-1.488460418,-0.875346661,-1.719610364,,-2.574723132,-0.18272182,0.073260892
VCA0234 hypothetical protein  ,1.276479811,0.459542787,0.162777952,-0.309019351,0.013590981,-0.628877442,-0.541877465,-1.032888873,0.668380938,0.798938977,1.148374143,0.654380933,0.457594243,-0.035561073,0.252799078,-0.486292192,-0.789725325,-2.438126573,-0.408369343,0.103993577,0.319814213,0.235052267,0.090524929,1.922895047,1.735440047,0.173491141,-0.151712403,-1.195381852,-0.83193111,-0.824593859,0.767794033,-0.345957895,-0.142076041,-0.700076656,0.322933384,0.888073708,0.200522169,-1.067186455,1.27894599,0.021905016,1.047714764,-0.17498385,1.451736166,0.458510485,0.485086734,-0.550115242,0.211142372,0.433946993,-2.210652926,-0.674472609,-0.165349513,0.949858196,0.462255464,0.066290487,-0.391532193,0.694270546,-0.065592993,-0.018237011,-1.372502768,0.930065354,-0.52337779,1.06877963,1.112429602,0.160379585,-0.593018542,-1.411964864,-1.978498709,-1.22700435,-1.193404752,-0.128934473,1.197459777,1.027291304,-0.812742783,0.792472524,-0.310657539,-0.158545348,1.501243412,1.676729057,-0.165359573,-0.247606076,-0.073593492,-2.089598747,0.257326958,0.554998297,-1.973793404,0.233516318,-0.122638231,,0.541354939,-0.067616295,-0.281422096
VCA0235 acetate kinase ackA-2 Energy metabolism,-1.249131479,0.222480391,1.268558918,0.122527215,0.369395265,-0.441642861,-2.296927971,-1.553813535,0.655738611,-1.542963359,1.485181777,-1.231780115,-0.699463434,0.681224424,2.671139096,0.759845314,0.908836956,0.918409224,-1.220899707,2.147573747,1.890391086,0.403633431,2.163651976,0.670138521,-0.403610944,-3.294343332,-0.916699135,0.571125266,0.516388999,0.639470128,1.488759481,0.271724767,-2.464207693,-0.415283432,0.032208971,1.764269589,-0.306082158,1.6870863,0.414232719,1.162692246,0.950545992,-0.315850766,-0.108055128,-2.314258273,-0.988531885,-0.986386021,-0.666513518,0.315256767,0.127278954,0.635261705,-0.558194726,0.228638313,1.57471762,1.299931117,2.1539005,0.217855932,-0.004093951,-0.381899245,1.743619698,1.432854188,1.019165736,0.514998878,0.862882138,-0.525553474,0.299449265,-1.059547341,0.110761977,0.159468814,-1.650909798,0.593902638,-2.57245082,-1.465823176,2.181719324,-0.689883945,-0.489220972,-0.215953019,-2.259506587,-0.888524762,-1.019738542,-3.194113113,-0.157831344,0.180064878,-1.942935736,-2.198545806,0.945753234,1.262783668,0.583708502,,-0.918643628,1.478165029,1.72259382
VCA0236 hypothetical protein  ,0.568358654,0.349056621,-1.413361868,-0.678868281,0.716348617,-1.13183348,0.937245563,0.977318896,1.205984199,0.438019863,0.914999567,-0.299366948,1.513998487,1.657990529,0.895601507,-0.078785511,0.692296823,0.009861654,-0.075206129,-0.413110287,-1.677994625,-0.704837304,-0.199415532,-0.818395669,-0.763093186,-0.303494384,0.598488516,0.204642186,0.560330253,-1.427370057,-1.246640126,-0.134633381,1.052018615,0.483978826,0.04894087,-0.16753304,1.677648185,1.16533226,-1.135778952,1.808715325,-0.248662913,-0.690309772,-1.514769839,-1.041993254,0.676746987,-0.451132039,1.091581918,-1.266122494,-0.977374695,0.836482651,-2.047318477,-0.256259097,-1.155256409,-0.136928343,0.27301618,-1.225851026,-0.284613088,0.102675594,0.153924485,0.153958846,0.449057095,-0.778289374,0.60558377,1.519085262,1.778732517,1.016125086,-0.281564815,0.358150028,2.107763385,-0.518782825,0.320104122,-1.207605187,0.541694588,-0.291371522,-0.693199059,1.357328843,-0.120195876,-0.044377514,1.370221907,0.009347335,3.066192224,0.694635079,1.59705686,0.053327765,0.10259335,-0.315278619,-1.372213076,,0.793250508,-1.708254732,-1.142431661
VCA0237 hypothetical protein  ,0.755678711,-1.043945378,0.857642729,0.021666831,-0.851508451,-0.031432756,0.71911569,0.770178112,0.140072437,0.116862824,1.225254052,0.774037166,1.751821932,2.357897718,1.627280472,-0.267741631,0.475541246,-0.494114477,1.236831172,0.338603024,1.460541607,-0.137446818,0.466087879,-0.157646503,-1.658181155,-0.800647866,-1.005398401,0.182326436,0.620434633,-0.266869693,0.045193996,-0.027740392,0.552197196,-0.105199052,1.611058339,0.628695838,1.188211309,1.62636383,0.677918032,-0.936016389,-0.875467384,0.224892308,-0.186400313,-0.98737743,-1.47279643,-0.701959607,-2.162455495,-0.320030144,-0.390757962,-0.462045225,-0.767663355,-0.151809017,-0.141346649,0.767091994,0.947534287,-0.478349861,-0.399594788,-0.930689186,-1.239497871,0.519644151,0.421432017,-0.027287689,0.081174693,-0.398850616,0.398290348,-0.335899953,-0.326644005,0.868461925,1.318762178,0.297735315,0.657783947,0.445442493,0.342810198,-0.144981344,-0.801388696,0.358208464,-0.467162639,1.663134525,-0.109109546,0.097527179,1.050502826,-0.955659146,0.628052337,-0.721006916,0.141137934,0.783106946,0.933960638,,-0.682628419,1.992602456,-0.695128236
VCA0238 sensor histidine kinase  Regulatory functions,1.681724637,-0.845952785,1.813090862,-0.765078189,1.415216859,0.171554787,-1.007031151,-0.203293387,-0.899100676,-0.652955282,-0.827254387,0.090728726,0.216001542,-0.594366428,-0.197265471,0.931195506,0.512638939,1.094933498,-0.017011883,-0.155496228,-0.289510189,2.234181893,-1.668145759,1.221703059,0.474468887,0.973473898,1.2381242,1.093113937,0.900625477,1.91175586,0.515220583,0.575378689,-0.967867368,-0.495572249,-0.053189114,-0.442657768,-1.54444749,0.766999416,-2.005070603,-1.220575093,0.50587234,-1.582133513,-0.603377122,1.395475448,0.11329924,1.016504626,1.72299603,0.689666215,-0.632851526,0.367512534,0.17289205,0.501428376,-0.303333779,-0.217036212,-0.236691851,0.223393183,1.19763155,0.061985603,-0.247367403,-1.666853514,-0.970413985,-1.763026206,0.200979152,0.970298585,-2.45031423,-0.067278542,0.642560338,0.520726973,0.973938008,-0.948800664,0.093406342,-0.885821476,0.016824435,1.369546966,-1.449680153,-0.117225139,-0.580058453,-1.641330349,-0.525307486,0.007666921,0.944787985,0.637553198,-0.666141967,0.404467807,-1.00973458,0.329964875,2.243157047,-0.111638705,-0.084198235,0.960179525,0.590818024
VCA0239 transcriptional regulator  Regulatory functions,1.445521213,0.003511657,-2.319897453,-1.93696544,-0.320829938,-3.284946879,-0.467931917,-0.176381383,-5.954407433,-4.844797005,0.76421853,1.045211751,0.209865255,-0.735250436,0.248966149,-1.722751032,0.526576431,-0.11981463,0.7521982,0.843281933,-0.891750507,0.069570763,1.038075947,0.110180227,-0.271126365,1.766308072,1.753306624,1.70688365,0.451383817,-0.019111254,-0.099083789,1.791528795,1.032901244,2.088257625,0.033305702,-0.900916106,-2.241270747,1.403441824,-1.847007156,0.272956974,-0.825863278,0.21605122,-0.422299862,1.303771226,2.281249933,1.91566284,0.464253985,0.362321727,0.194654193,-0.108896843,-0.220141796,-0.790510819,-0.577863453,0.039866504,-0.826538296,-0.042108783,0.56738506,1.259658344,-0.588081616,-1.431085391,0.499572717,-10.80852754,1.884151401,0.920965518,-1.698090676,0.176220323,0.483595524,0.438134236,-0.565240023,-0.540396475,0.224871465,-0.247706341,1.253600262,0.572086696,-0.120538383,0.038114073,-0.419976315,0.755422522,-0.244717949,0.055676604,0.342206198,-1.673249068,-0.752132761,-1.088153972,-0.492248067,-1.407015522,-0.007860368,1.273298932,-0.845463615,0.505873909,-0.304383412
VCA0240 hypothetical protein  ,-0.679897563,-0.565183134,-0.437282069,1.735085022,0.453823652,-1.186960069,-0.499131799,0.272835565,-0.152177395,-0.486569595,0.255796233,-0.438025503,0.419051482,-0.864307064,1.564175014,0.093251791,-0.541553274,0.789450697,0.490197153,-2.015677673,-0.598865912,-0.542164803,-0.399795262,-0.282030632,-1.439207245,-0.892316538,-0.517217222,0.558427839,1.171981264,1.000580385,0.76502011,0.060058978,-0.595615016,0.472200772,-0.456042379,0.989757145,1.453033792,-0.753310047,0.995822805,-0.014776684,-0.121187662,-0.728003428,-0.522439847,-0.496465411,0.101354475,-1.23011281,-0.388181632,-0.47082753,1.314688008,0.191529316,0.07144642,-1.117061154,-0.064806412,-0.341168827,0.094920157,0.191737152,-0.324499774,0.420615465,-1.052479757,-0.413626067,-0.775225986,-0.643519199,-1.837609666,0.137711357,1.010087706,1.310526977,0.330010205,0.379091596,0.617059036,0.559442234,-1.421475612,-2.833573395,1.228927751,0.058772601,-0.395951133,-0.618141844,1.607029528,1.755575394,0.916101569,1.21774941,0.085439821,-0.295889498,1.468898984,-0.383982451,-0.972451501,0.246287734,2.229129129,-4.81431538,0.03667782,-0.162212456,-0.758680876
"VCA0241 hexulose-6-phosphate isomerase SgbU, putative  Energy metabolism",1.864705535,-0.282175067,-0.736128476,0.775617327,-0.321867468,0.96711244,-0.205896792,-0.15767891,1.0938065,0.596896585,0.407814423,1.477116812,-1.166178196,-0.473682202,1.650972916,0.399917494,1.758111594,0.916875556,0.847263651,0.316556712,-1.071402697,0.257377423,0.527485094,0.387766801,-0.119129219,0.046986596,0.822649836,0.471346859,1.220242541,0.311089432,0.891002774,-1.849486909,1.21277269,0.599482164,0.627420963,-1.640266353,-2.379952254,0.422319903,0.660297221,-0.334054458,-0.288377227,1.227505445,-0.860379709,3.567618746,0.893713949,0.732585377,-2.179740295,1.396781316,0.490524,-0.125770293,1.140119263,-1.358700934,0.329334373,0.126337933,-1.319876915,-0.389326088,0.76927031,0.342384672,-0.703856296,-0.998413092,0.726993937,-0.17685143,-0.803833397,-0.10017067,-1.183575445,-0.391689491,-0.19039886,-0.412131233,-0.419439481,0.220326228,-0.517903746,0.151300596,-0.084213057,-0.981884608,-0.484548783,0.168778768,1.740714316,1.06784768,-1.426963727,0.325362351,-0.290144395,-0.8771929,-0.618957123,-2.130595336,0.865599938,-0.026659153,-0.701523418,,-0.053905443,0.758485189,-0.90596556
"VCA0242 hexulose-6-phosphate synthase SgbH, putative  Energy metabolism",-2.11431959,0.835022766,-0.030272255,1.619699971,-1.103941294,1.276305051,-0.682023785,0.362498934,1.738020172,0.672752836,-0.780703505,2.075886074,-0.51106311,0.625563538,2.382451195,-0.859255292,-0.137518332,-1.283152745,-3.276084959,-2.411430399,-1.044555538,-1.064916901,-0.317779736,0.014359591,0.141798606,1.206647753,0.717608536,-0.182883741,1.461541455,-1.016779734,-1.576519777,-0.455817663,0.210712028,0.224981327,-0.626829193,0.023267313,-0.646912872,-1.241956239,0.362901518,-0.04343303,0.18647631,1.698933827,2.925299504,1.753335621,-0.269917795,-0.342959078,-0.357334318,-1.000303078,1.335145272,0.68853992,-0.130374616,0.086395983,1.388630847,0.523014204,1.826375115,-0.609058995,1.247523436,0.516859113,-0.950537585,2.185073358,0.4825701,-1.412766138,-1.537163778,0.16775496,-0.422947798,0.88307827,0.302166117,-0.351710711,-1.013100596,0.789072702,-0.127671163,1.088247896,0.605652113,0.529825523,1.269084432,-0.67226097,-0.75621045,-1.03808125,-1.713514779,-0.571374512,-0.373709016,0.925668775,-1.477752247,-1.12030577,-0.470506906,-0.03387253,0.117623727,,-0.16756728,-0.761974489,-0.63225107
VCA0243 conserved hypothetical protein  Hypothetical proteins,0.513493003,-0.159143979,0.227107212,-0.182976604,0.33089452,-0.614020284,0.258163707,-0.130192893,-0.289486332,-0.430860065,-0.411176847,0.271874672,-1.034435915,-1.478794476,-0.07815123,-1.931570036,0.291397044,0.212764641,0.078120645,-0.651008946,-0.606493352,0.610210012,-0.954077641,0.554519523,1.881738087,1.189324673,0.408497605,1.223318606,0.566929825,0.065209216,0.267432918,0.751831479,0.976396918,1.875963631,0.36678474,-1.179411732,-1.965617458,-0.43269688,-0.678118643,-0.090738939,-1.715201279,0.359933505,0.832114199,-0.296389327,1.501373927,1.287411842,0.89053149,2.036118729,1.480364285,0.140509327,0.750193313,0.918481327,-0.746651893,-0.874005432,-0.925501395,1.473480016,0.338375747,0.099552568,-0.173456163,-2.601217593,-1.054922431,-0.495954197,0.759971153,0.874903851,-0.910076037,-1.06330317,-0.470986365,0.007440952,-0.367450421,-0.726779093,1.288781512,0.759778995,-0.382533245,0.637726406,-0.641250406,-1.16893286,-1.032171632,0.176137148,-0.057326922,1.888829861,1.085700285,-0.025568699,-0.024469785,-0.293432437,-2.585667945,-1.816813318,0.514122264,-1.164573433,0.090664064,0.810679967,0.482208648
"VCA0244 sugar isomerase SgaE, AraD/FucA family  Energy metabolism",2.239881397,-0.176576791,2.460257787,0.97394642,1.294648097,1.719941592,-0.236814181,0.132709948,-0.497279401,-0.156963984,0.852021483,1.329941077,1.658975329,0.253227618,-0.506947257,-1.589927071,-0.071770323,0.903017511,0.792414794,1.561217475,0.758389407,1.372508407,1.098024072,1.857639952,-0.26674644,0.130204923,-0.894400632,0.943261187,-0.217582271,0.019420473,0.114592416,0.040204543,2.319020801,1.777498492,0.923556417,-0.783803253,-3.599247412,1.467940995,0.634381433,1.515622578,-1.466547086,0.061987322,-0.775301019,-0.575520733,-0.358705267,1.561982192,4.681157324,3.24526928,-0.061356705,0.545204116,-0.748960713,0.142848685,-0.321483102,0.818370024,-0.727396285,3.108053936,0.768019059,-0.601102922,-1.512548147,-2.671564934,-0.711739306,-3.520613195,-0.005669711,-0.05109843,-4.201992689,-1.646931958,0.04151999,-0.309168382,1.906567073,-0.677183526,0.21739321,-0.153753147,1.647241285,0.342822832,-0.379323136,-0.985113774,1.211753826,-1.072156049,-1.986555954,-1.746598066,-0.557741791,-2.044557175,-0.949695789,-1.248927653,-2.126449415,-3.129799214,-0.672811024,-3.220387472,-2.109991565,-0.334471203,-1.289069952
"VCA0245 PTS system, IIA component  Transport and binding proteins",-2.068825909,2.235595214,1.817878072,2.436452034,1.860543,0.075165936,0.007543102,-0.674305438,-1.507394832,0.862740365,0.120626743,-0.412718003,-0.501797556,1.37723346,2.329874928,0.158549195,-0.15632275,-0.314238726,0.1252967,2.562280779,1.136533181,1.508338571,-0.953642782,-0.439939994,-0.008468731,-0.540323758,-0.128252315,-0.214608922,1.468585332,-0.545508076,1.741005575,-0.751245854,0.239609981,0.04804351,0.074829276,1.02267702,-0.49187743,-0.78360454,1.463989358,3.107357064,3.052876502,-1.779643758,-1.926435325,-0.5398301,0.444571456,0.058473708,0.007919449,-1.164973034,-0.426841906,-0.860438069,-0.526959333,-1.823421043,-0.629372104,2.683303858,2.101366433,1.334089766,-0.615234123,-1.060530788,0.989890511,0.101883214,0.692854996,0.250609207,-0.652012757,-0.471588982,-0.061150984,0.330850796,-0.41430048,0.039379328,-0.712430075,1.746975893,-0.129519775,-0.310016107,-2.008802209,-0.254039741,0.20992789,0.335233615,0.639618703,-0.168923527,-0.423990646,-0.111259165,-0.274046145,-0.050093139,0.551513013,-1.646927334,2.274200087,2.024773841,-0.228593876,,-8.93234995,-0.150923665,-0.58750886
